Lat,Lng,What Dinosaurs Eat,Accepted Name,Country,Cc,Diet,Early Interval,Formation,Geological Interval,Geological Time Period,Ref Author,Ref Pubyr,State,Max Ma,Min Ma
42.9333,123.966698,PLANT,Chaoyangsaurus youngi,China,CN,herbivore,Late Tithonian,Tuchengzi,Tithonian,Jurassic,Dong,1992,Liaoning,150.8,132.9
41.799999,120.73333,PLANT and ANIMAL,Protarchaeopteryx robusta,China,CN,omnivore,Late Barremian,Yixian,Barremian,Cretaceous,Ji et al.,1998,Liaoning,130,122.46
41.799999,120.73333,PLANT and ANIMAL,Caudipteryx zoui,China,CN,omnivore,Late Barremian,Yixian,Barremian,Cretaceous,Ji and Ji,1997,Liaoning,130,122.46
50.740726,-111.528732,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Matthew and Brown,1922,Alberta,83.5,70.6
50.737015,-111.549347,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
50.737297,-111.528931,PLANT,Centrosaurus apertus,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Currie,2005,Alberta,83.5,70.6
50.723866,-111.564636,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
50.740471,-111.525337,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
50.786999,-111.601021,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Lambe,1914,Alberta,83.5,70.6
51.8046,-112.981903,FLESH,Albertosaurus sarcophagus,Canada,CA,carnivore,Maastrichtian,Scollard,Maastrichtian,Cretaceous,Osborn,1905,Alberta,72.1,66
51.819099,-112.981903,FLESH,Albertosaurus sarcophagus,Canada,CA,carnivore,Early Maastrichtian,Horseshoe Canyon,Maastrichtian,Cretaceous,Russell,1970,Alberta,70.6,66
51.542702,-112.818901,FLESH,Albertosaurus sarcophagus,Canada,CA,carnivore,Late Campanian,Horseshoe Canyon,Campanian,Cretaceous,Parks,1928,Alberta,83.5,70.6
51.469898,-112.8423,FLESH,Albertosaurus sarcophagus,Canada,CA,carnivore,Late Campanian,Horseshoe Canyon,Campanian,Cretaceous,Osborn,1905,Alberta,83.5,70.6
51.4408,-112.702202,FLESH,Albertosaurus sarcophagus,Canada,CA,carnivore,Late Campanian,Horseshoe Canyon,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
49.083698,-110.681999,FLESH,Daspletosaurus torosus,Canada,CA,carnivore,Late Campanian,Oldman,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
50.751526,-111.485008,FLESH,Daspletosaurus torosus,Canada,CA,carnivore,Middle Campanian,Oldman,Campanian,Cretaceous,Russell,1970,Alberta,83.5,70.6
51.906399,-113.0289,FLESH,Tyrannosaurus rex,Canada,CA,carnivore,Maastrichtian,Scollard,Maastrichtian,Cretaceous,Eberth et al.,2001,Alberta,72.1,66
39.068802,-108.699989,PLANT,Camarasaurus grandis,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Chenoweth,1991,Colorado,157.3,145
39.111668,-108.717499,PLANT,Camarasaurus supremus,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Riggs,1901,Colorado,157.3,152.1
47.637699,-106.569901,PLANT,Ankylosaurus magniventris,United States,US,herbivore,Maastrichtian,Hell Creek,Maastrichtian,Cretaceous,Brown,1908,Montana,72.1,66
36.06028,-107.966393,FLESH,Bistahieversor sealeyi,United States,US,carnivore,Late Campanian,Fruitland,Campanian,Cretaceous,Carr and Williamson,2010,New Mexico,83.5,70.6
47.695831,-106.227776,PLANT,Pachycephalosaurus wyomingensis,United States,US,herbivore,Maastrichtian,Hell Creek,Maastrichtian,Cretaceous,Giffin et al.,1988,Montana,72.1,66
31.81139,-110.418053,PLANT,Sonorasaurus thompsoni,United States,US,herbivore,Late Albian,Turney Ranch,Albian,Cretaceous,Ratkevich and Scarborough,1998,Arizona,105.3,93.5
41.893101,-106.041,FLESH,Allosaurus fragilis,United States,US,carnivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Marsh,1878,Wyoming,157.3,145
42.035831,-106.389999,FLESH,Allosaurus fragilis,United States,US,carnivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Williston,1901,Wyoming,157.3,145
42.035831,-106.389999,FLESH,Allosaurus fragilis,United States,US,carnivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Williston,1901,Wyoming,157.3,145
42.035831,-106.389999,PLANT,Camarasaurus grandis,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Williston,1898,Wyoming,157.3,145
42.035831,-106.389999,FLESH,Allosaurus fragilis,United States,US,carnivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Williston,1901,Wyoming,157.3,145
35.679169,-111.027779,PLANT,Scutellosaurus lawleri,United States,US,herbivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Colbert,1981,Arizona,199.3,182.7
35.736668,-111.073608,PLANT,Scutellosaurus lawleri,United States,US,herbivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Colbert,1981,Arizona,199.3,182.7
47.8125,-112.182777,PLANT,Orodromeus makelai,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Horner and Weishampel,1988,Montana,83.6,72.1
47.8125,-112.182777,PLANT,Maiasaura peeblesorum,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Horner,1982,Montana,83.6,72.1
30.049999,-115.73333,FLESH,Alexornis antecedens,Mexico,MX,carnivore,Santonian,La Bocana Roja,Santonian,Cretaceous,Chiappe,1991,Baja California del Norte,86.3,83.6
50.742214,-111.565781,PLANT,Styracosaurus albertensis,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Brown,1917,Alberta,83.5,70.6
50.73,-111.800003,PLANT,Centrosaurus apertus,Canada,CA,herbivore,Campanian,Oldman,Campanian,Cretaceous,Brown,1917,Alberta,83.6,72.1
39.653423,-105.187332,PLANT,Apatosaurus louisae,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Marsh,1879,Colorado,157.3,145
42.152302,-105.916199,PLANT,Diplodocus carnegii,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Hatcher,1901,Wyoming,157.3,145
42.152302,-105.916199,PLANT,Brontosaurus excelsus,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,McIntosh,1981,Wyoming,157.3,145
36.145279,-110.32,FLESH,Dilophosaurus wetherilli,United States,US,carnivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Welles,1954,Arizona,199.3,182.7
36.099998,-110.300003,FLESH,Dilophosaurus wetherilli,United States,US,carnivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Welles,1954,Arizona,199.3,182.7
42.017776,-106.048615,PLANT,Diplodocus longus,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Osborn,1904,Wyoming,157.3,145
42.017776,-106.048615,PLANT,Stegosaurus stenops,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Brown,1932,Wyoming,157.3,145
42.017776,-106.048615,PLANT,Brontosaurus excelsus,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Turner and Peterson,1999,Wyoming,157.3,145
